pair,TP,BO,SO,MaxSO,SOS,OS,MSC,,end_date,tot_deals,avg_duration_m,max_duration_m,tot_days_deals,max_safe_orders,final_profit,required_investment,profit_percent
BTT/USDT,1,10,15,30,2,1,1,,2021-05-01T04:29:00Z,1757,173.733.067.729.083,53462,101,26,452.938.466.976.621,460,0.984648841253524
ADA/USDT,1,10,15,30,2,1,1,,2021-04-30T21:05:00Z,1596,190.980.576.441.102,12250,155,17,394.818.109.422.236,460,0.858300237874426
BTC/USDT,1,10,15,30,2,1,1,,2021-05-01T03:35:00Z,522,584.664.750.957.854,23269,134,13,36.647.113.550.951,460,0.796676381542414
LINK/USDT,1,10,15,30,2,1,1,,2021-04-29T17:23:00Z,1141,265.681.858.019.281,14413,151,20,289.072.186.934.867,460,0.628417797684495
ETH/USDT,1,10,15,30,2,1,1,,2021-04-30T14:27:00Z,868,35.069.930.875.576,11652,161,14,214.600.714.570.222,460,0.46652329254396
BTT/USDT,1,10,15,30,2,1.05,1,,2021-05-01T04:29:00Z,2024,150.814.723.320.158,53431,114,24,548.245.072.843.556,100.658.271.254.519,0.544659734377206
ADA/USDT,1,10,15,30,2,1.05,1,,2021-04-30T21:05:00Z,1704,17.887.617.370.892,9810,162,17,437.285.673.245.842,100.658.271.254.519,0.434425971950325
BTC/USDT,1,10,15,30,2,1.05,1,,2021-05-01T03:35:00Z,524,58.243.320.610.687,23269,136,13,367.766.574.307.106,100.658.271.254.519,0.365361504547588
LINK/USDT,1,10,15,30,2,1.05,1,,2021-04-29T17:26:00Z,1282,236.463.338.533.541,12925,163,20,340.177.042.460.645,100.658.271.254.519,0.337952398964302
ETH/USDT,1,10,15,30,2,1.05,1,,2021-04-30T14:27:00Z,957,318.084.639.498.432,9294,171,12,244.275.548.932.587,100.658.271.254.519,0.242678068963576
BTT/USDT,1,10,15,25,2,1.1,1,,2021-05-01T04:29:00Z,2253,13.548.557.478.917,47459,137,24,643.934.601.030.696,148.520.589.150.825,0.433565881143096
ADA/USDT,1,10,15,25,2,1.1,1,,2021-04-30T18:23:00Z,1799,169.340.188.993.885,9393,172,17,479.024.588.710.501,148.520.589.150.825,0.322530762535585
LINK/USDT,1,10,15,25,2,1.1,1,,2021-04-29T17:26:00Z,1363,222.410.858.400.586,8974,166,20,38.085.253.307.106,148.520.589.150.825,0.256430798752283
BTC/USDT,1,10,15,25,2,1.1,1,,2021-05-01T03:35:00Z,535,570.457.943.925.233,23269,141,13,375.935.462.015.444,148.520.589.150.825,0.253120098812478
ETH/USDT,1,10,15,25,2,1.1,1,,2021-04-30T14:27:00Z,996,305.629.518.072.289,9281,171,12,262.702.719.646.929,148.520.589.150.825,0.176879664394644
BTT/USDT,1,10,15,20,2,1,1,,2021-05-01T04:29:00Z,1745,174.927.793.696.275,53462,101,20,449.968.739.528.473,310,145.151.206.299.507
ADA/USDT,1,10,15,20,2,1,1,,2021-04-30T21:05:00Z,1596,190.980.576.441.102,12250,155,17,394.818.109.422.236,310,127.360.680.458.785
BTC/USDT,1,10,15,20,2,1,1,,2021-05-01T03:35:00Z,522,584.664.750.957.854,23269,134,13,36.647.113.550.951,310,118.216.495.325.648
LINK/USDT,1,10,15,20,2,1,1,,2021-04-29T17:23:00Z,1141,265.681.858.019.281,14413,151,20,289.072.186.934.867,310,0.932490925596347
ETH/USDT,1,10,15,20,2,1,1,,2021-04-30T14:27:00Z,868,35.069.930.875.576,11652,161,14,214.600.714.570.222,310,0.692260369581361
BTT/USDT,1,10,15,20,2,1.05,1,,2021-05-01T04:29:00Z,1965,155.343.002.544.529,53431,109,20,529.324.189.656.767,505.989.311.543.326,104.611.733.406.436
ADA/USDT,1,10,15,20,2,1.05,1,,2021-04-30T21:05:00Z,1704,17.887.617.370.892,9810,162,17,437.285.673.245.842,505.989.311.543.326,0.864219190543908
BTC/USDT,1,10,15,20,2,1.05,1,,2021-05-01T03:35:00Z,524,58.243.320.610.687,23269,136,13,367.766.574.307.106,505.989.311.543.326,0.726826764749982
LINK/USDT,1,10,15,20,2,1.05,1,,2021-04-29T17:26:00Z,1282,236.463.338.533.541,12925,163,20,340.177.042.460.645,505.989.311.543.326,0.672300846480464
ETH/USDT,1,10,15,20,2,1.05,1,,2021-04-30T14:27:00Z,957,318.084.639.498.432,9294,171,12,244.275.548.932.587,505.989.311.543.326,0.482768199564371
BTT/USDT,1,10,15,20,2,1.1,1,,2021-05-01T04:29:00Z,2163,141.122.977.346.278,47459,129,20,612.134.339.551.209,869.124.992.398.841,0.704311054111652
ADA/USDT,1,10,15,20,2,1.1,1,,2021-04-30T18:23:00Z,1799,169.340.188.993.885,9393,172,17,479.024.588.710.501,869.124.992.398.841,0.551157305220694
LINK/USDT,1,10,15,20,2,1.1,1,,2021-04-29T17:26:00Z,1363,222.410.858.400.586,8974,166,20,38.085.253.307.106,869.124.992.398.841,0.438202256754673
BTC/USDT,1,10,15,20,2,1.1,1,,2021-05-01T03:35:00Z,535,570.457.943.925.233,23269,141,13,375.935.462.015.444,869.124.992.398.841,0.432544760883976
ETH/USDT,1,10,15,20,2,1.1,1,,2021-04-30T14:27:00Z,996,305.629.518.072.289,9281,171,12,262.702.719.646.929,869.124.992.398.841,0.302261149943293
BTT/USDT,1,10,15,15,2,1,1,,2021-05-01T04:29:00Z,1648,18.522.390.776.699,53462,101,15,427.585.793.147.271,235,181.951.401.339.264
ADA/USDT,1,10,15,15,2,1,1,,2021-04-30T21:05:00Z,1582,192.670.670.037.926,12250,154,15,391.133.433.697.239,235,166.439.759.020.101
BTC/USDT,1,10,15,15,2,1,1,,2021-05-01T03:35:00Z,522,584.664.750.957.854,23269,134,13,36.647.113.550.951,235,1.559.451.640.466
